phase,metric_mode,request_index,query_name,sql,client_time_ms,server_time_ms,redis_exec_ms,rows_returned,ok,error
benchmark,client,3,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",12.880800059065223,12.876900029368699,12.859400012530386,1,True,
benchmark,client,4,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",10.437499964609742,10.433799936436117,10.40900032967329,2,True,
benchmark,client,2,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",18.8091000309214,18.801899976097047,18.766700173728168,3,True,
benchmark,client,0,q9_orders_items_products_by_user,"SELECT o.idOrder, o.Create_Date, oi.Product_id, oi.Quantity, p.Title, p.Price FROM Orders o JOIN Order_Items oi ON oi.Order_id = o.idOrder JOIN Products p ON p.idProduct = oi.Product_id WHERE o.Users_id = ?;",22.955000051297247,22.951000020839274,22.905699675902724,4,True,
benchmark,client,3,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",21070.68379991688,21069.966299925,20925.72730849497,20,True,
benchmark,client,0,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",21286.029100068845,21285.3097000625,21138.351787696593,20,True,
benchmark,client,2,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",21298.627099953592,21297.715399996378,21150.368516682647,20,True,
benchmark,client,1,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",21422.34719998669,21421.5533999959,21269.676501862705,20,True,
benchmark,client,4,q10_top_sellers_qty,"SELECT p.Seller_id, COUNT(*) AS items, SUM(oi.Quantity) AS qty FROM Order_Items oi JOIN Products p ON p.idProduct = oi.Product_id GROUP BY p.Seller_id ORDER BY qty DESC LIMIT 20;",14848.183699999936,14847.43389999494,14709.30189685896,20,True,
benchmark,client,1,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",14061.29179999698,14060.78980001621,14013.384898426011,10,True,
benchmark,client,2,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",14145.667100092396,14145.170900039375,14096.22170298826,10,True,
benchmark,client,0,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",14195.438600028865,14194.945399998687,14145.154906553216,10,True,
benchmark,client,3,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",14199.962500017136,14199.336600024253,14149.718703818507,10,True,
benchmark,client,4,q11_top_categories,"SELECT pc.Category_id, COUNT(*) cnt FROM Product_Categories pc GROUP BY pc.Category_id ORDER BY cnt DESC LIMIT 10;",9690.920199966058,9690.47569995746,9649.866906111129,10,True,
